[ 2025-01-17 13:49:22,666-INFO-Initiate data ingestion ]
[ 2025-01-17 13:49:23,148-INFO-{"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 678a128b0f782d23e27d351b, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('cluster0-shard-00-00.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-01.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-02.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "678a128b0f782d23e27d351b"}, "remainingTimeMS": 30} ]
[ 2025-01-17 13:49:44,668-INFO-Performed train-test split ]
[ 2025-01-17 13:49:44,949-INFO-Exported train test split ]
[ 2025-01-17 13:49:44,966-INFO-Initiate the data validation ]
[ 2025-01-17 13:49:45,060-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 13:49:45,060-INFO-Number of columns is:31 ]
[ 2025-01-17 13:49:45,116-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 13:49:45,117-INFO-Number of columns is:31 ]
[ 2025-01-17 13:49:45,681-INFO-Data Validation Completed ]
[ 2025-01-17 13:49:45,683-INFO-Initiate data transformation ]
[ 2025-01-17 13:49:45,683-INFO-Starting data transformation ]
[ 2025-01-17 13:49:45,754-INFO-Enter get data transformation method of transformation class ]
[ 2025-01-17 13:49:45,830-INFO-Data Transformation Completed ]
[ 2025-01-17 13:49:45,846-INFO-Model Trainer Completed ]
