[ 2025-01-17 13:56:13,619-INFO-Initiate data ingestion ]
[ 2025-01-17 13:56:14,048-INFO-{"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 678a1426bbc0dc0ba30b2cf0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('cluster0-shard-00-00.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-01.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-02.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "678a1426bbc0dc0ba30b2cf0"}, "remainingTimeMS": 30} ]
[ 2025-01-17 13:56:18,155-INFO-Performed train-test split ]
[ 2025-01-17 13:56:18,374-INFO-Exported train test split ]
[ 2025-01-17 13:56:18,394-INFO-Initiate the data validation ]
[ 2025-01-17 13:56:18,479-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 13:56:18,479-INFO-Number of columns is:31 ]
[ 2025-01-17 13:56:18,479-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 13:56:18,479-INFO-Number of columns is:31 ]
[ 2025-01-17 13:56:19,056-INFO-Data Validation Completed ]
[ 2025-01-17 13:56:19,071-INFO-Initiate data transformation ]
[ 2025-01-17 13:56:19,071-INFO-Starting data transformation ]
[ 2025-01-17 13:56:19,196-INFO-Enter get data transformation method of transformation class ]
[ 2025-01-17 13:56:19,279-INFO-Data Transformation Completed ]
[ 2025-01-17 13:56:19,305-INFO-Model Trainer Completed ]
